variant,label,block,similarity,hash,prop_time_ms,step_time_ms,global_mem_inst,atomic_tx,l2_sectors,dram_sectors,long_scoreboard,issue_busy_pct,gpu,compute_capability,kernel,prop_time_ms_norm,step_time_ms_norm,global_mem_inst_norm,atomic_tx_norm,l2_sectors_norm,dram_sectors_norm,long_scoreboard_norm,issue_busy_pct_norm
v0_binning,Binning,0,0,0,8.639488220214844,8.639488220214844,117419588.0,511007558.0,686207700.0,3663160.0,93.164347,3.907005,0,12.0,"void <unnamed>::persistent_snn_binned_kernel<1>(const int *, const int *, const float *, bool, const int *, const int *, const float *, const int *, float *, float *, float *, float *, int *, int *, int *, int *, int *, int *, int *, bool, int, int, int, int, float, float, float, float, float, float)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
v1_block,+ Block,1,0,0,8.246944427490234,8.246944427490234,76271348.0,511041587.0,687515607.0,3831272.0,61.279897,7.349702,0,12.0,"void <unnamed>::persistent_snn_spike_block_kernel<1>(const int *, const int *, const float *, bool, const int *, const int *, const float *, float *, float *, float *, float *, int *, int *, int *, int *, int *, int *, int *, int *, bool, int, int, int, int, float, float, float, float, float, float)",0.9545639993111944,0.9545639993111944,0.6495623881766643,1.0000665919700547,1.0019059928939882,1.0458926173030936,0.6577612463703523,1.8811601213717413
v2_block_sort,+ Sort,1,1,0,8.152735710144043,8.374719709157944,76017360.0,496965357.0,672726893.0,4313080.0,53.291952,7.451671,0,12.0,"void <unnamed>::persistent_snn_spike_block_kernel<1>(const int *, const int *, const float *, bool, const int *, const int *, const float *, float *, float *, float *, float *, int *, int *, int *, int *, int *, int *, int *, int *, bool, int, int, int, int, float, float, float, float, float, float)",0.9436595666706405,0.969353681108403,0.6473993078565392,0.9725205610363986,0.9803546258661918,1.1774205876893173,0.5720208826236929,1.9072591409532367
v3_block_sort_hash,+ Hash,1,1,1,7.800479888916016,8.016223892569542,72703202.0,476570365.0,651944981.0,4321496.0,14.99133,12.93844,0,12.0,"void <unnamed>::persistent_snn_spike_block_kernel<1>(const int *, const int *, const float *, bool, const int *, const int *, const float *, float *, float *, float *, float *, int *, int *, int *, int *, int *, int *, int *, int *, bool, int, int, int, int, float, float, float, float, float, float)",0.9028868018668398,0.9278586518369253,0.619174391925136,0.932609229627089,0.9500694629337444,1.1797180576333002,0.16091273628526584,3.3116005738410883
