schema_version,run_id,dataset,requested_average_firing_partition,actual_average_firing_partition,requested_firing_rate_hz,actual_firing_rate_hz,n_active_per_step,spike_seed,repeat,timestep,update_phase_elapsed_us,current_phase_elapsed_us
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,0,291.83998703956604,52.928000688552856
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,1,141.27999544143677,26.048000901937485
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,2,137.1839940547943,25.312000885605812
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,3,125.37600100040436,24.607999250292778
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,4,124.03199821710587,30.239999294281006
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,5,123.77600371837616,24.000000208616257
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,6,122.65600264072418,25.151999667286873
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,7,123.1359988451004,24.831999093294144
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,8,129.92000579833984,23.584000766277313
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,9,121.47200107574463,23.391999304294586
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,10,121.05599790811539,24.288000538945198
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,11,126.52799487113953,23.520000278949738
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,12,121.21599912643433,23.135999217629433
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,13,121.24799937009811,22.816000506281853
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,14,120.92799693346024,22.911999374628067
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,15,119.99999731779099,22.752000018954277
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,16,119.1679984331131,53.599998354911804
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,17,125.11999905109406,23.04000034928322
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,18,120.38400024175644,22.23999984562397
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,19,119.71200257539749,22.71999977529049
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,20,120.44800072908401,22.52800017595291
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,21,119.4240003824234,22.6879995316267
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,22,119.58400160074234,23.48800003528595
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,23,119.87199634313583,22.39999920129776
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,24,119.07199770212173,22.784000262618065
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,25,118.68800222873688,22.175999358296394
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,26,119.64800208806992,22.112000733613968
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,27,119.23199892044067,22.6879995316267
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,28,118.46400052309036,22.431999444961548
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,29,122.78400361537933,22.71999977529049
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,30,119.93599683046341,22.784000262618065
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,31,118.9119964838028,24.57600086927414
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,32,119.55200135707855,22.655999287962914
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,33,119.29599940776825,22.655999287962914
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,34,119.35999989509583,22.23999984562397
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,35,122.14399874210358,22.207999601960182
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,36,118.75200271606445,22.08000048995018
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,37,119.03999745845795,22.36800082027912
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,38,118.75200271606445,22.304000332951546
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,39,119.99999731779099,23.552000522613525
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,40,120.12799829244614,22.495999932289124
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,41,120.7680031657219,22.84800074994564
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,42,118.07999759912491,22.272000089287758
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,43,118.78400295972824,22.112000733613968
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,44,118.49600076675415,22.5600004196167
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,45,119.10399794578552,22.52800017595291
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,46,119.48800086975098,22.016000002622604
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,47,124.4800016283989,22.175999358296394
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,48,118.78400295972824,22.87999913096428
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,49,119.29599940776825,22.87999913096428
5,20260825T093653Z,mice_column_v1,0.01,0.010081613058089293,10.0,10.081613058089294,42,42,0,50,118.40000003576279,22.272000089287758
