schema_version,run_id,dataset,dataset_replicas,n_neuron,edge_count,mean_fanout,t_steps,warmup_steps,seed,timing_method,update_backend,current_backend,cusparse_primitive,cusparse_algorithm,baseline_cuda_graph,cudagraph_proxy_requested,kernel_active_profile_requested,component_consistency_rtol,requested_average_firing_partition,actual_average_firing_partition,requested_firing_rate_hz,actual_firing_rate_hz,n_active_per_step,spike_seed,repeat,cudagraph_status,eager_kernel_profile_status,cudagraph_kernel_profile_status,component_consistency_status,eager_wall_total_ms,eager_gpu_total_ms,eager_host_submission_ms,eager_boundary_ms,instrumented_wall_total_ms,instrumented_gpu_total_ms,update_phase_elapsed_ms,current_phase_elapsed_ms,raw_inter_phase_residual_ms,inter_phase_residual_ms,instrumentation_wall_delta_ms,cudagraph_wall_total_ms,cudagraph_gpu_total_ms,cudagraph_host_submission_ms,raw_graph_removable_wall_ms,raw_graph_removable_gpu_ms,graph_removable_wall_ms,graph_removable_gpu_ms,eager_update_kernel_active_ms,eager_propagation_kernel_active_ms,eager_non_kernel_critical_path_residual_ms,cudagraph_update_kernel_active_ms,cudagraph_propagation_kernel_active_ms,cudagraph_non_kernel_critical_path_residual_ms,eager_update_kernel_count,eager_propagation_kernel_count,eager_ignored_device_event_count,eager_cpu_kernel_launch_count,eager_cpu_graph_launch_count,eager_cpu_launch_api_count,cudagraph_update_kernel_count,cudagraph_propagation_kernel_count,cudagraph_ignored_device_event_count,cudagraph_cpu_kernel_launch_count,cudagraph_cpu_graph_launch_count,cudagraph_cpu_launch_api_count,eager_wall_us_per_step,eager_gpu_us_per_step,eager_host_submission_us_per_step,update_phase_elapsed_us_per_step,current_phase_elapsed_us_per_step,inter_phase_residual_us_per_step,cudagraph_wall_us_per_step,cudagraph_gpu_us_per_step,cudagraph_host_submission_us_per_step,graph_removable_wall_us_per_step,graph_removable_gpu_us_per_step,eager_update_kernel_active_us_per_step,eager_propagation_kernel_active_us_per_step,eager_non_kernel_critical_path_residual_us_per_step,cudagraph_update_kernel_active_us_per_step,cudagraph_propagation_kernel_active_us_per_step,cudagraph_non_kernel_critical_path_residual_us_per_step,update_fraction_of_instrumented_gpu,current_fraction_of_instrumented_gpu,inter_phase_fraction_of_instrumented_gpu,graph_removable_wall_fraction_of_eager,component_profile_exclusion_reason,component_profile_valid
5,20260825T092923Z,uniform,1,16384,1572864,96.0,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.0,0.0,0.0,0.0,0,42,13,ok,ok,ok,mismatch,12.364091002382338,12.350272178649902,12.236469949129969,0.0138188237324357,17.024144995957613,16.98736000061035,12.430752009153366,2.541408007964492,2.0151999834924936,2.0151999834924936,4.660053993575275,2.700925047975033,2.682784080505371,0.3131910343654454,9.663165954407305,9.667488098144531,9.663165954407305,9.667488098144531,1.306564000000015,1.3504350000000267,9.707092002382296,1.2711810000000114,0.9497900000000032,0.4799540479750189,1536,384,0,1920,0,1920,1536,384,0,0,1,1,96.59446095611202,96.48650139570236,95.59742147757788,97.11525007151069,19.854750062222596,15.743749871035106,21.10097693730495,20.95925062894821,2.446804955980042,75.49348401880707,75.52725076675415,10.207531250000116,10.55027343750021,75.83665626861169,9.93110156250009,7.420234375000025,3.749640999804836,0.7317647950421214,0.1496058250295031,0.1186293799283754,0.781550859868743,paired_component_mismatch,False
5,20260825T092923Z,uniform,1,16384,1572864,96.0,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.0,0.0,0.0,0.0,0,42,14,ok,ok,ok,mismatch,12.2750720474869,12.258912086486816,12.38614396424964,0.0161599610000848,17.043091007508337,16.999040603637695,12.31411200016737,2.585568000562489,2.0993606029078364,2.0993606029078364,4.768018960021436,2.700642042327672,2.6856958866119385,0.3119950415566563,9.574430005159227,9.573216199874878,9.574430005159227,9.573216199874878,1.287376000000029,0.988447000000016,9.999249047486856,1.2746110000000035,2.269307000000026,0.0,1536,384,0,1920,0,1920,1536,384,0,0,1,1,95.89900037099142,95.77275067567824,96.76674972070032,96.20400000130758,20.19975000439445,16.401254710217472,21.09876595568494,20.98199911415577,2.437461262161378,74.80023441530648,74.79075156152248,10.057625000000224,7.722242187500125,78.11913318349106,9.957898437500027,17.728960937500204,0.0,0.7244004110168559,0.1521008191491226,0.1234987698340214,0.7799897196627388,paired_component_mismatch;negative_cudagraph_residual,False
5,20260825T092923Z,uniform,1,16384,1572864,96.0,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.03,0.030029296875,30.0,30.029296875,492,45,8,ok,ok,ok,mismatch,13.386567996349186,13.193120002746582,13.255907979328184,0.1934479936026036,18.217245989944782,17.952512741088867,14.756383976899087,2.9782079635187984,0.2179208006709814,0.2179208006709814,4.8306779935956,4.013323050457984,3.556191921234131,0.4062360385432839,9.3732449458912,9.636928081512451,9.3732449458912,9.636928081512451,1.6612399999999623,1.3608629999999589,10.364464996349264,1.7712069999999769,1.0196259999999957,1.222490050458012,1664,384,0,2048,0,2048,1664,384,0,0,1,1,104.582562471478,103.07125002145769,103.56178108850143,115.28424981952412,23.26724971499061,1.7025062552420422,31.354086331703,27.782749384641647,3.1737190511194058,73.22847613977501,75.28850063681602,12.978437499999703,10.63174218749968,80.97238278397863,13.837554687499818,7.965828124999966,9.55070351920322,0.8219676091985368,0.1658936554715494,0.0121387353299137,0.7001977615507943,paired_component_mismatch,False
5,20260825T092923Z,uniform,1,16384,1572864,96.0,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.03,0.030029296875,30.0,30.029296875,492,45,9,ok,ok,ok,mismatch,13.225104019511493,13.097887992858888,13.134970038663596,0.1272160266526043,18.35348503664136,18.228639602661133,13.244960011914372,4.76518396101892,0.2184956297278404,0.2184956297278404,5.128381017129868,3.418401989620179,3.2832961082458496,0.2798620262183249,9.806702029891312,9.814591884613035,9.806702029891312,9.814591884613035,1.6608790000000029,1.3591040000000034,10.205121019511484,1.6071430000000164,1.004579999999999,0.8066789896201636,1664,384,0,2048,0,2048,1664,384,0,0,1,1,103.32112515243352,102.32724994421004,102.61695342705934,103.47625009308103,37.22799969546031,1.7069971072487533,26.706265543907648,25.6507508456707,2.1864220798306637,76.61485960852588,76.67649909853935,12.97561718750002,10.618000000000029,79.72750796493347,12.555804687500128,7.848281249999991,6.302179606407528,0.726601671908681,0.2614119355524077,0.0119863925389113,0.7415217313544844,paired_component_mismatch,False
5,20260825T092923Z,uniform,1,16384,1572864,96.0,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.03,0.030029296875,30.0,30.029296875,492,45,10,ok,ok,ok,mismatch,13.408697035629302,13.207263946533203,13.187567004933952,0.2014330890960991,18.395820981822908,18.084064483642575,14.983999971300364,2.8864959962666035,0.2135685160756111,0.2135685160756111,4.987123946193606,4.020058026071638,3.5615038871765137,0.4442850477062166,9.388639009557664,9.64576005935669,9.388639009557664,9.64576005935669,1.6598380000000086,1.349842999999978,10.399016035629316,1.6044049999999992,1.0168559999999969,1.3987970260716422,1664,384,0,2048,0,2048,1664,384,0,0,1,1,104.75544559085392,103.18174958229064,103.02786722604652,117.06249977578408,22.55074997083284,1.6685040318407118,31.40670332868467,27.824249118566517,3.470976935204817,73.34874226216925,75.35750046372414,12.967484375000067,10.54564843749983,81.24231277835403,12.534414062499994,7.944187499999974,10.928101766184705,0.8285747921798062,0.1596154447954717,0.011809763024722,0.7001902559667337,paired_component_mismatch,False
5,20260825T092923Z,uniform,1,16384,1572864,96.0,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.05,0.04998779296875,50.0,49.98779296875,819,47,0,ok,ok,ok,ok,13.263181026559325,13.232192039489746,13.169747951906174,0.0309889870695769,18.309020961169157,18.16748809814453,14.675519946962597,3.251424001529813,0.2405441496521234,0.2405441496521234,5.04583993460983,2.8042109915986657,2.788640022277832,0.24025997845456,10.458970034960656,10.443552017211914,10.458970034960656,10.443552017211914,1.6204170000000475,1.090174999999993,10.552589026559282,1.7639610000000312,1.0470949999999748,0.0,1664,384,0,2048,0,2048,1664,384,0,0,1,1,103.61860176999473,103.37650030851364,102.888655874267,114.65249958564527,25.401750011951663,1.8792511691572145,21.907898371864576,21.786250174045563,1.8770310816762503,81.71070339813014,81.59025013446808,12.659507812500372,8.516992187499945,82.4421017699944,13.780945312500243,8.180429687499803,0.0,0.8077902606944009,0.1789693756211617,0.0132403636844375,0.7885717622353736,negative_cudagraph_residual,False
5,20260825T092923Z,uniform,1,16384,1572864,96.0,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.05,0.04998779296875,50.0,49.98779296875,819,47,1,ok,ok,ok,mismatch,13.388345018029211,13.252767562866213,13.205158989876509,0.135577455163002,18.21932103484869,18.06265640258789,14.384671945124865,3.4344319915398955,0.2435524659231305,0.2435524659231305,4.830976016819477,3.535326977726072,3.3978559970855717,0.3461809828877449,9.85301804030314,9.85491156578064,9.85301804030314,9.85491156578064,1.8632270000000088,1.3364769999999917,10.188641018029212,1.5600139999999996,0.9706500000000068,1.0046629777260656,1664,384,0,2048,0,2048,1664,384,0,0,1,1,104.59644545335324,103.53724658489227,103.16530460841022,112.380249571288,26.831499933905437,1.902753640024457,27.619742013484935,26.545749977231026,2.704538928810507,76.97670343986829,76.99149660766125,14.55646093750007,10.441226562499931,79.59875795335323,12.187609374999996,7.583203125000054,7.848929513484887,0.7963763260792543,0.1901399171302308,0.0134837567905148,0.7359399557626221,paired_component_mismatch,False
5,20260825T092923Z,uniform,1,16384,1572864,96.0,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.05,0.04998779296875,50.0,49.98779296875,819,47,4,ok,ok,ok,mismatch,13.233910023700446,13.217887878417969,13.110385974869132,0.0160221452824771,18.193011987023056,18.142751693725582,13.580735934898255,2.7851200131699443,1.7768957456573844,1.7768957456573844,4.95910196332261,3.620144037995488,3.26963210105896,0.3249130095355212,9.613765985704958,9.948255777359009,9.613765985704958,9.948255777359009,1.8296349999999757,1.2565839999999966,10.147691023700474,1.7646739999999936,1.0246969999999975,0.8307730379954961,1664,384,0,2048,0,2048,1664,384,0,0,1,1,103.38992206015972,103.26474905014038,102.4248904286651,106.09949949139263,21.75875010289019,13.881998012948316,28.282375296839746,25.544000789523125,2.53838288699626,75.10754676331999,77.72074826061726,14.294023437499806,9.817062499999974,79.27883612265995,13.78651562499995,8.005445312499983,6.490414359339813,0.7485488510320605,0.1535114441395975,0.0979397048283419,0.7264493991940238,paired_component_mismatch,False
5,20260825T092923Z,uniform,1,16384,1572864,96.0,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.05,0.04998779296875,50.0,49.98779296875,819,47,9,ok,ok,ok,mismatch,13.358513009734452,13.23468780517578,13.070621993392706,0.1238252045586705,18.24042602675036,18.107839584350582,14.30950392782688,3.590655994601548,0.2076796619221568,0.2076796619221568,4.881913017015904,3.738307976163924,3.608191967010498,0.322653038892895,9.620205033570528,9.626495838165283,9.620205033570528,9.626495838165283,1.8230560000000693,1.3459820000000096,10.189475009734371,1.7689160000000053,1.0050449999999995,0.964346976163919,1664,384,0,2048,0,2048,1664,384,0,0,1,1,104.3633828885504,103.3959984779358,102.11423432338051,111.79299943614753,28.05199995782459,1.62249735876685,29.20553106378065,28.18899974226952,2.520726866350742,75.15785182476975,75.20699873566628,14.242625000000544,10.515484375000074,79.60527351354979,13.81965625000004,7.851914062499996,7.533960751280617,0.7902380546928218,0.1982928983811362,0.0114690469260419,0.7201553815578283,paired_component_mismatch,False
5,20260825T092923Z,uniform,1,16384,1572864,96.0,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.05,0.04998779296875,50.0,49.98779296875,819,47,10,ok,ok,ok,mismatch,13.28691397793591,13.150527954101562,13.24506604578346,0.1363860238343477,18.3313520392403,18.17510414123535,13.923936078324914,4.04160001501441,0.2095680478960275,0.2095680478960275,5.04443806130439,3.562386962585151,3.423520088195801,0.3710840246640146,9.72452701535076,9.727007865905762,9.72452701535076,9.727007865905762,1.8274870000000032,1.3568220000000213,10.102604977935886,1.923172999999989,0.9874230000000208,0.6517909625851416,1664,384,0,2048,0,2048,1664,384,0,0,1,1,103.8040154526243,102.73849964141846,103.47707848268328,108.7807506119134,31.57500011730008,1.6372503741877154,27.831148145196494,26.746250689029694,2.899093942687614,75.9728673074278,75.99224895238876,14.277242187500024,10.600171875000166,78.92660139012412,15.024789062499911,7.714242187500162,5.092116895196418,0.7660993835372055,0.2223701159348463,0.0115305005279481,0.7318875572987973,paired_component_mismatch,False
