schema_version,run_id,dataset,requested_average_firing_partition,actual_average_firing_partition,requested_firing_rate_hz,actual_firing_rate_hz,n_active_per_step,spike_seed,repeat,timestep,update_phase_elapsed_us,current_phase_elapsed_us
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,0,381.8880021572113,167.58400201797485
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,1,16.063999384641647,162.91199624538422
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,2,15.584000386297703,162.9759967327118
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,3,13.887999579310417,160.5439931154251
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,4,14.399999752640724,162.81600296497345
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,5,14.08000010997057,158.59200060367584
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,6,14.431999996304512,164.89599645137787
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,7,13.567999936640263,160.7999950647354
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,8,13.663999736309052,163.4880006313324
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,9,14.047999866306782,162.6880019903183
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,10,14.879999682307243,166.9439971446991
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,11,16.00000075995922,591.2960171699524
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,12,19.26399953663349,167.4560010433197
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,13,14.399999752640724,162.432000041008
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,14,14.368000440299511,163.42400014400482
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,15,14.336000196635723,162.08000481128693
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,16,15.552000142633915,161.43999993801117
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,17,14.14399966597557,160.35200655460358
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,18,16.127999871969223,165.50399363040924
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,19,14.240000396966934,162.20800578594208
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,20,14.368000440299511,163.58399391174316
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,21,14.399999752640724,164.48000073432922
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,22,14.399999752640724,161.43999993801117
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,23,310.5280101299286,165.98400473594666
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,24,16.127999871969223,161.18399798870087
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,25,14.047999866306782,162.4639928340912
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,26,15.456000342965126,163.58399391174316
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,27,14.14399966597557,162.30399906635284
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,28,14.047999866306782,163.35999965667725
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,29,14.271999709308147,160.35200655460358
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,30,16.095999628305435,161.21600568294525
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,31,14.175999909639359,160.44799983501434
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,32,14.879999682307243,159.2639982700348
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,33,14.271999709308147,162.4000072479248
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,34,16.127999871969223,597.6319909095764
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,35,19.519999623298645,164.38399255275726
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,36,15.519999898970127,167.52000153064728
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,37,14.271999709308147,160.288006067276
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,38,15.552000142633915,163.32800686359406
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,39,14.047999866306782,158.2079976797104
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,40,16.03199914097786,165.47200083732605
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,41,14.271999709308147,162.36799955368042
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,42,14.431999996304512,163.4880006313324
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,43,14.592000283300877,164.22399878501892
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,44,15.552000142633915,163.42400014400482
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,45,14.208000153303146,166.52800142765045
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,46,337.47199177742004,167.4560010433197
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,47,16.256000846624374,162.20800578594208
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,48,15.552000142633915,163.4880006313324
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,49,14.14399966597557,160.41600704193115
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,50,15.552000142633915,161.3759994506836
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,51,14.14399966597557,164.35199975967407
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,52,14.015999622642994,163.455992937088
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,53,14.240000396966934,164.41600024700165
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,54,14.047999866306782,161.56800091266632
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,55,14.240000396966934,168.60799491405487
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,56,16.1920003592968,161.24799847602844
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,57,14.14399966597557,590.4960036277771
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,58,19.42400075495243,163.455992937088
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,59,14.240000396966934,157.95199573040009
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,60,15.552000142633915,161.43999993801117
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,61,14.175999909639359,160.47999262809753
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,62,16.1920003592968,165.3439998626709
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,63,14.208000153303146,160.47999262809753
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,64,14.336000196635723,165.6319946050644
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,65,14.4640002399683,160.19199788570404
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,66,15.48799965530634,159.42400693893433
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,67,14.368000440299511,164.32000696659088
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,68,15.584000386297703,161.53599321842194
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,69,311.19999289512634,162.52799332141876
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,70,15.552000142633915,161.31199896335602
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,71,14.271999709308147,164.22399878501892
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,72,15.48799965530634,163.35999965667725
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,73,14.240000396966934,166.49599373340607
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,74,14.047999866306782,165.3759926557541
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,75,14.495999552309513,160.19199788570404
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,76,14.336000196635723,159.45599973201752
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,77,14.303999952971935,162.4000072479248
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,78,15.48799965530634,163.4880006313324
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,79,14.336000196635723,162.27200627326965
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,80,14.08000010997057,594.5280194282532
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,81,19.551999866962433,166.49599373340607
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,82,14.944000169634819,159.45599973201752
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,83,14.208000153303146,162.11199760437012
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,84,14.208000153303146,165.56799411773682
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,85,14.047999866306782,156.2879979610443
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,86,15.584000386297703,167.64800250530243
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,87,14.271999709308147,160.16000509262085
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,88,15.00799972563982,161.31199896335602
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,89,14.271999709308147,160.22400557994843
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,90,15.00799972563982,163.35999965667725
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,91,14.336000196635723,164.2879992723465
4,20260825T082827Z,flybrain,0.0,0.0,0.0,0.0,0,42,0,92,15.00799972563982,592.5120115280151
