schema_version,run_id,dataset,requested_average_firing_partition,actual_average_firing_partition,requested_firing_rate_hz,actual_firing_rate_hz,n_active_per_step,spike_seed,repeat,timestep,update_phase_elapsed_us,current_phase_elapsed_us
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,0,328.5439908504486,75.19999891519547
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,1,130.17599284648895,26.30399912595749
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,2,116.44800007343292,24.288000538945198
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,3,114.04799669981003,23.679999634623528
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,4,116.95999652147293,26.1439997702837
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,5,117.47200042009354,23.80800060927868
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,6,111.64800077676773,23.744000121951103
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,7,110.1439967751503,24.224000051617622
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,8,114.88000303506851,22.911999374628067
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,9,113.56800049543381,22.784000262618065
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,10,108.96000266075134,23.423999547958374
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,11,110.944002866745,28.224000707268715
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,12,109.8560020327568,22.71999977529049
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,13,109.0560033917427,22.6879995316267
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,14,107.58399963378906,22.304000332951546
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,15,107.64800012111664,21.79200015962124
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,16,107.29599744081497,21.60000056028366
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,17,111.42399907112122,23.679999634623528
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,18,113.40799927711487,22.112000733613968
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,19,112.03200370073318,21.503999829292297
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,20,107.39199817180634,21.503999829292297
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,21,107.64800012111664,21.407999098300934
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,22,106.72000050544739,21.91999927163124
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,23,108.2879975438118,22.143999114632607
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,24,108.51199924945831,22.87999913096428
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,25,111.93600296974182,21.79200015962124
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,26,106.9440022110939,21.663999184966087
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,27,107.84000158309937,21.47199958562851
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,28,107.35999792814255,21.056000143289566
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,29,107.07200318574905,21.407999098300934
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,30,108.44799876213074,22.87999913096428
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,31,107.84000158309937,26.944000273942947
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,32,107.68000036478043,21.75999991595745
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,33,107.29599744081497,22.36800082027912
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,34,107.00800269842148,21.75999991595745
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,35,111.35999858379364,22.08000048995018
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,36,108.70400071144104,22.272000089287758
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,37,106.78400099277496,22.5600004196167
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,38,111.29599809646606,22.23999984562397
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,39,107.00800269842148,21.60000056028366
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,40,107.32799768447876,21.79200015962124
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,41,107.96800255775452,22.08000048995018
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,42,106.84800148010254,22.175999358296394
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,43,108.22399705648422,22.495999932289124
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,44,108.70400071144104,21.663999184966087
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,45,112.28799819946289,22.048000246286392
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,46,107.4879989027977,21.12000063061714
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,47,107.55199939012527,21.695999428629875
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,48,108.09600353240967,21.75999991595745
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,49,109.31199789047241,22.592000663280487
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,50,106.39999806880951,21.344000473618507
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,51,106.01600259542465,21.31200022995472
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,52,114.3999993801117,22.016000002622604
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,53,107.77600109577179,22.048000246286392
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,54,107.07200318574905,21.344000473618507
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,55,106.78400099277496,21.536000072956085
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,56,107.96800255775452,22.911999374628067
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,57,106.84800148010254,21.727999672293663
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,58,107.29599744081497,24.89599958062172
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,59,106.84800148010254,21.695999428629875
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,60,106.4319983124733,21.43999934196472
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,61,106.81600123643875,22.016000002622604
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,62,107.93600231409073,22.816000506281853
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,63,108.57599973678589,22.175999358296394
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,64,107.35999792814255,22.336000576615334
5,20260825T092923Z,uniform,0.0,0.0,0.0,0.0,0,42,0,65,112.96000331640244,21.407999098300934
