schema_version,run_id,dataset,n_neuron,edge_count,mean_fanout,t_steps,warmup_steps,seed,timing_method,update_backend,current_backend,cusparse_primitive,cusparse_algorithm,baseline_cuda_graph,cudagraph_proxy_requested,kernel_active_profile_requested,component_consistency_rtol,requested_average_firing_partition,actual_average_firing_partition,requested_firing_rate_hz,actual_firing_rate_hz,n_active_per_step,spike_seed,repeat,cudagraph_status,eager_kernel_profile_status,cudagraph_kernel_profile_status,component_consistency_status,eager_wall_total_ms,eager_gpu_total_ms,eager_boundary_ms,instrumented_wall_total_ms,instrumented_gpu_total_ms,update_phase_elapsed_ms,current_phase_elapsed_ms,raw_inter_phase_residual_ms,inter_phase_residual_ms,instrumentation_wall_delta_ms,cudagraph_wall_total_ms,cudagraph_gpu_total_ms,raw_graph_removable_wall_ms,raw_graph_removable_gpu_ms,graph_removable_wall_ms,graph_removable_gpu_ms,eager_update_kernel_active_ms,eager_propagation_kernel_active_ms,eager_launch_execution_overhead_ms,cudagraph_update_kernel_active_ms,cudagraph_propagation_kernel_active_ms,cudagraph_launch_execution_overhead_ms,eager_update_kernel_count,eager_propagation_kernel_count,eager_ignored_device_event_count,cudagraph_update_kernel_count,cudagraph_propagation_kernel_count,cudagraph_ignored_device_event_count,eager_wall_us_per_step,eager_gpu_us_per_step,update_phase_elapsed_us_per_step,current_phase_elapsed_us_per_step,inter_phase_residual_us_per_step,cudagraph_wall_us_per_step,cudagraph_gpu_us_per_step,graph_removable_wall_us_per_step,graph_removable_gpu_us_per_step,eager_update_kernel_active_us_per_step,eager_propagation_kernel_active_us_per_step,eager_launch_execution_overhead_us_per_step,cudagraph_update_kernel_active_us_per_step,cudagraph_propagation_kernel_active_us_per_step,cudagraph_launch_execution_overhead_us_per_step,update_fraction_of_instrumented_gpu,current_fraction_of_instrumented_gpu,inter_phase_fraction_of_instrumented_gpu,graph_removable_wall_fraction_of_eager
4,20260825T082827Z,flybrain,138639,15091983,108.85813515677407,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.0,0.0,0.0,0.0,0,42,0,ok,ok,ok,mismatch,23.044072033371776,23.004608154296875,0.03946387907490134,27.880443027243018,27.726816177368164,3.2044159956276417,24.28323195874691,0.2391682229936123,0.2391682229936123,4.836370993871242,22.18298299703747,22.03856086730957,0.861089036334306,0.9660472869873047,0.861089036334306,0.9660472869873047,1.4798730000000087,22.047882999999988,0.0,2.0931490000000283,23.544479000000006,0.0,1536,384,0,1536,384,0,180.031812760717,179.72350120544434,25.03449996584095,189.71274967771024,1.868501742137596,173.30455466435524,172.17625677585602,6.727258096361766,7.547244429588318,11.561507812500068,172.2490859374999,0.0,16.352726562500223,183.94124218750005,0.0,0.11557100444310031,0.8758031143354982,0.008625881221401533,0.037367051929333546
4,20260825T082827Z,flybrain,138639,15091983,108.85813515677407,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.0,0.0,0.0,0.0,0,42,1,ok,ok,ok,ok,26.85066597769037,26.67171287536621,0.17895310232415795,27.651831042021513,27.47123146057129,2.928288030438125,24.315167993307114,0.22777543682605028,0.22777543682605028,0.8011650643311441,26.393563020974398,26.20364761352539,0.45710295671597123,0.4680652618408203,0.45710295671597123,0.4680652618408203,1.4461620000000162,21.38411199999997,4.020391977690384,1.387488999999904,22.38042999999999,2.625644020974505,1536,384,0,1536,384,0,209.770827950706,208.37275683879852,22.877250237797853,189.96224994771183,1.7794956002035178,206.19971110136248,204.71599698066711,3.5711168493435252,3.6567598581314087,11.298140625000126,167.06337499999975,31.409312325706125,10.83975781249925,174.84710937499992,20.51284391386332,0.10659471289596235,0.8851138700573367,0.008291417046701026,0.017023896431312656
4,20260825T082827Z,flybrain,138639,15091983,108.85813515677407,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.0,0.0,0.0,0.0,0,42,2,ok,ok,ok,ok,26.93290199385956,26.534944534301758,0.3979574595578015,27.845620992593467,27.576255798339844,2.302720000036061,25.039936035871506,0.2335997624322772,0.2335997624322772,0.9127189987339079,26.506876980420202,26.043167114257812,0.4260250134393573,0.4917774200439453,0.4260250134393573,0.4917774200439453,1.4999480000000158,25.097780000000025,0.33517399385951663,1.4014120000000498,24.611137000000046,0.49432798042010617,1536,384,0,1536,384,0,210.4132968270278,207.30425417423248,17.990000000281725,195.62450028024614,1.8249981440021656,207.08497640953283,203.46224308013916,3.3283204174949788,3.8420110940933228,11.718343750000123,196.0764062500002,2.6185468270274734,10.94853125000039,192.27450781250036,3.8619373470320797,0.08350372207436116,0.9080252307994245,0.008471047126214302,0.015818013726723056
4,20260825T082827Z,flybrain,138639,15091983,108.85813515677407,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.0,0.0,0.0,0.0,0,42,3,ok,ok,ok,ok,26.72693895874545,26.259679794311523,0.46725916443392634,23.222768970299512,23.190656661987305,2.023296009749174,20.896896049380302,0.27046460285782814,0.27046460285782814,-3.5041699884459376,26.661125011742115,26.529888153076172,0.06581394700333476,-0.27020835876464844,0.06581394700333476,0.0,1.7098370000000163,24.36545899999995,0.6516429587454837,1.6104990000000527,23.678618999999987,1.372007011742074,1536,384,0,1536,384,0,208.80421061519883,205.15374839305878,15.807000076165423,163.2570003857836,2.1130047098267823,208.29003915423527,207.2647511959076,0.5141714609635528,0.0,13.358101562500128,190.35514843749962,5.090960615199092,12.582023437500412,184.9892109374999,10.718804779234953,0.08724617156122345,0.901091174517417,0.011662653921359505,0.002462457339574963
4,20260825T082827Z,flybrain,138639,15091983,108.85813515677407,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.0,0.0,0.0,0.0,0,42,4,ok,ok,ok,ok,22.315883019473404,22.297792434692383,0.01809058478102088,23.251861974131316,23.214431762695312,2.06944000069052,20.86908806860447,0.2759036934003234,0.2759036934003234,0.9359789546579123,22.273167967796326,22.254751205444336,0.04271505167707801,0.043041229248046875,0.04271505167707801,0.043041229248046875,1.4369410000000231,20.53016100000001,0.34878101947337115,1.3483790000000158,20.50607300000002,0.4187159677962917,1536,384,0,1536,384,0,174.34283608963597,174.20150339603424,16.167500005394686,163.03975053597242,2.1554976046900265,174.0091247484088,173.86524379253387,0.33371134122717194,0.3362596035003662,11.226101562500181,160.39188281250009,2.724851714635712,10.534210937500124,160.20369531250014,3.271218498408529,0.0891445468855296,0.8989704457095642,0.011885007404906197,0.0019141098579789012
4,20260825T082827Z,flybrain,138639,15091983,108.85813515677407,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.0,0.0,0.0,0.0,0,42,5,ok,ok,ok,ok,22.390572004951537,22.373567581176758,0.017004423774778843,33.119993982836604,33.08176040649414,7.93270396720618,22.801344007253647,2.3477124320343137,2.3477124320343137,10.729421977885067,22.3584080231376,22.33897590637207,0.032163981813937426,0.0345916748046875,0.032163981813937426,0.0345916748046875,1.4342399999999358,20.564691,0.3916410049516017,1.34996,20.516339000000027,0.4921090231375729,1536,384,0,1536,384,0,174.92634378868388,174.79349672794342,61.97424974379828,178.13550005666912,18.341503375268076,174.6750626807625,174.5232492685318,0.25128110792138614,0.2702474594116211,11.2049999999995,160.6616484375,3.0596953511843883,10.5465625,160.2838984375002,3.844601743262288,0.23979086571369232,0.6892421602442176,0.0709669740420901,0.0014364966561293995
4,20260825T082827Z,flybrain,138639,15091983,108.85813515677407,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.0,0.0,0.0,0.0,0,42,6,ok,ok,ok,ok,23.06871797190979,23.03932762145996,0.029390350449830294,23.199837014544755,23.165151596069336,2.049567994661629,20.85027201473713,0.2653115866705775,0.2653115866705775,0.131119042634964,22.54171803360805,22.50819206237793,0.5269999383017421,0.5311355590820312,0.5269999383017421,0.5311355590820312,1.4343360000000283,20.539506999999997,1.0948749719097677,1.3474330000000214,20.505382,0.6889030336080282,1536,384,0,1536,384,0,180.22435915554524,179.99474704265594,16.012249958293978,162.89275011513382,2.072746770863887,176.10717213756288,175.84525048732758,4.11718701798236,4.149496555328369,11.20575000000022,160.46489843749998,8.55371071804506,10.526820312500167,160.198296875,5.38205495006272,0.08847634716145782,0.9000706051185525,0.011453047719989694,0.022844786560894146
4,20260825T082827Z,flybrain,138639,15091983,108.85813515677407,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.0,0.0,0.0,0.0,0,42,7,ok,ok,ok,ok,22.36679196357727,22.34921646118164,0.017575502395629883,23.248469980899245,23.203392028808594,2.071616000495851,20.855744048953056,0.2760319793596864,0.2760319793596864,0.881678017321974,22.28284499142319,22.265535354614258,0.08394697215408087,0.08368110656738281,0.08394697215408087,0.08368110656738281,1.4320929999999943,20.54728899999999,0.3874099635772872,1.350482000000003,20.517572000000026,0.41479099142316045,1536,384,0,1536,384,0,174.74056221544743,174.60325360298157,16.184500003873836,162.93550038244575,2.15649983874755,174.08472649549367,173.9494949579239,0.6558357199537568,0.6537586450576782,11.188226562499956,160.52569531249992,3.026640340447556,10.550640625000025,160.2935312500002,3.240554620493441,0.08928073955410479,0.8988230696209946,0.01189619082490068,0.003753196805817416
4,20260825T082827Z,flybrain,138639,15091983,108.85813515677407,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.0,0.0,0.0,0.0,0,42,8,ok,ok,ok,ok,22.264183033257723,22.246368408203125,0.017814625054597855,23.23027903912589,23.193151473999023,2.058527992106974,20.86064000427723,0.27398347761482,0.27398347761482,0.9660960058681667,22.369730984792113,22.351839065551758,-0.10554795153439045,-0.10547065734863281,0.0,0.0,1.4347550000000011,20.546990000000005,0.28243803325771566,1.345788999999949,20.51133499999999,0.5126069847921748,1536,384,0,1536,384,0,173.93892994732596,173.7997531890869,16.082249938335735,162.97375003341585,2.1404959188657813,174.76352331868839,174.6237426996231,0.0,0.0,11.209023437500008,160.52335937500004,2.206547134825904,10.513976562499602,160.2448046874999,4.0047420686888655,0.08875585512450575,0.8994310250447557,0.011813119830738511,0.0
4,20260825T082827Z,flybrain,138639,15091983,108.85813515677407,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.0,0.0,0.0,0.0,0,42,9,ok,ok,ok,ok,22.36526197521016,22.348735809326172,0.016526165883988142,23.239829984959215,23.201087951660156,2.058496001176536,20.866560071706772,0.2760318787768483,0.2760318787768483,0.8745680097490549,22.3571679671295,22.33843231201172,0.008094008080661297,0.010303497314453125,0.008094008080661297,0.010303497314453125,1.4335179999999932,20.54380399999996,0.38793997521020884,1.3493500000000436,20.500212000000005,0.5076059671294502,1536,384,0,1536,384,0,174.72860918132938,174.59949851036072,16.082000009191688,163.02000056020916,2.1564990529441275,174.6653747431992,174.51900243759155,0.06323443813016638,0.08049607276916504,11.199359374999947,160.4984687499997,3.0307810563297566,10.54179687500034,160.15790625000002,3.9656716181988294,0.08872411524258889,0.8993785168688032,0.011897367888607863,0.00036190088404208104
