schema_version,run_id,dataset,dataset_replicas,n_neuron,edge_count,mean_fanout,t_steps,warmup_steps,seed,timing_method,update_backend,current_backend,cusparse_primitive,cusparse_algorithm,baseline_cuda_graph,cudagraph_proxy_requested,kernel_active_profile_requested,component_consistency_rtol,requested_average_firing_partition,actual_average_firing_partition,requested_firing_rate_hz,actual_firing_rate_hz,n_active_per_step,spike_seed,repeat,cudagraph_status,eager_kernel_profile_status,cudagraph_kernel_profile_status,component_consistency_status,eager_wall_total_ms,eager_gpu_total_ms,eager_host_submission_ms,eager_boundary_ms,instrumented_wall_total_ms,instrumented_gpu_total_ms,update_phase_elapsed_ms,current_phase_elapsed_ms,raw_inter_phase_residual_ms,inter_phase_residual_ms,instrumentation_wall_delta_ms,cudagraph_wall_total_ms,cudagraph_gpu_total_ms,cudagraph_host_submission_ms,raw_graph_removable_wall_ms,raw_graph_removable_gpu_ms,graph_removable_wall_ms,graph_removable_gpu_ms,eager_update_kernel_active_ms,eager_propagation_kernel_active_ms,eager_non_kernel_critical_path_residual_ms,cudagraph_update_kernel_active_ms,cudagraph_propagation_kernel_active_ms,cudagraph_non_kernel_critical_path_residual_ms,eager_update_kernel_count,eager_propagation_kernel_count,eager_ignored_device_event_count,eager_cpu_kernel_launch_count,eager_cpu_graph_launch_count,eager_cpu_launch_api_count,cudagraph_update_kernel_count,cudagraph_propagation_kernel_count,cudagraph_ignored_device_event_count,cudagraph_cpu_kernel_launch_count,cudagraph_cpu_graph_launch_count,cudagraph_cpu_launch_api_count,eager_wall_us_per_step,eager_gpu_us_per_step,eager_host_submission_us_per_step,update_phase_elapsed_us_per_step,current_phase_elapsed_us_per_step,inter_phase_residual_us_per_step,cudagraph_wall_us_per_step,cudagraph_gpu_us_per_step,cudagraph_host_submission_us_per_step,graph_removable_wall_us_per_step,graph_removable_gpu_us_per_step,eager_update_kernel_active_us_per_step,eager_propagation_kernel_active_us_per_step,eager_non_kernel_critical_path_residual_us_per_step,cudagraph_update_kernel_active_us_per_step,cudagraph_propagation_kernel_active_us_per_step,cudagraph_non_kernel_critical_path_residual_us_per_step,update_fraction_of_instrumented_gpu,current_fraction_of_instrumented_gpu,inter_phase_fraction_of_instrumented_gpu,graph_removable_wall_fraction_of_eager
5,20260825T092923Z,uniform,1,16384,1572864,96.0,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.0,0.0,0.0,0.0,0,42,0,ok,ok,ok,ok,10.943011962808669,10.90220832824707,10.663123975973576,0.0408036345615983,19.580544030759484,19.528352737426758,14.189472019672394,2.912671996280551,2.426208721473813,2.426208721473813,8.637532067950815,2.2724210284650326,2.2564799785614014,0.011886004358530045,8.670590934343636,8.645728349685669,8.670590934343636,8.645728349685669,1.2872740000000609,0.9766459999999966,8.679091962808611,1.2758609999999853,0.9505810000000029,0.045979028465044425,1536,384,0,1920,0,1920,1536,384,0,0,1,1,85.49228095944272,85.17350256443024,83.30565606229356,110.85525015369058,22.755249970941804,18.954755636514165,17.753289284883067,17.628749832510948,0.09285940905101597,67.73899167455966,67.54475273191929,10.056828125000475,7.630046874999973,67.80540595944227,9.967664062499885,7.426414062500022,0.35921115988315955,0.7266087524360303,0.14915093123539883,0.12424031632857085,0.7923404419013551
5,20260825T092923Z,uniform,1,16384,1572864,96.0,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.0,0.0,0.0,0.0,0,42,1,ok,ok,ok,ok,13.945378013886511,13.928319931030273,13.896949007175863,0.01705808285623789,19.387775973882526,19.3439998626709,14.163360007107258,2.83334400691092,2.3472958486527205,2.3472958486527205,5.442397959996015,2.701153978705406,2.681407928466797,0.307559035718441,11.244224035181105,11.246912002563477,11.244224035181105,11.246912002563477,1.2869369999999736,0.976826000000026,11.681615013886512,1.2735410000000111,0.9502689999999948,0.47734397870540024,1536,384,0,1920,0,1920,1536,384,0,0,1,1,108.94826573348837,108.81499946117401,108.56991411856143,110.65125005552545,22.135500053991564,18.33824881759938,21.102765458635986,20.94849944114685,2.4028049665503204,87.84550027485238,87.86650002002716,10.054195312499793,7.631453125000203,91.26261729598838,9.949539062500087,7.423976562499959,3.729249833635939,0.7321836283941986,0.1464714654169621,0.1213449061888393,0.8063047142920289
5,20260825T092923Z,uniform,1,16384,1572864,96.0,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.0,0.0,0.0,0.0,0,42,2,ok,ok,ok,ok,13.720672985073179,13.701024055480957,13.80906195845455,0.019648929592221975,19.100459991022944,19.06015968322754,13.96227202564478,2.7990080062299967,2.298879651352763,2.298879651352763,5.379787005949765,2.7027539908885956,2.686271905899048,0.3197839832864702,11.017918994184583,11.01475214958191,11.017918994184583,11.01475214958191,1.2871410000000065,0.977208999999993,11.456322985073179,1.274223000000031,0.9504099999999908,0.47812099088857385,1536,384,0,1920,0,1920,1536,384,0,0,1,1,107.19275769588421,107.03925043344498,107.88329655042617,109.08025020034984,21.86725004867185,17.959997276193462,21.115265553817153,20.98649926483631,2.4983123694255482,86.07749214206706,86.05275116860867,10.05578906250005,7.634445312499945,89.50252332088421,9.954867187500241,7.425078124999928,3.735320241316983,0.7325369911738582,0.14685123591556545,0.12061177291057637,0.8030159312280861
5,20260825T092923Z,uniform,1,16384,1572864,96.0,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.0,0.0,0.0,0.0,0,42,3,ok,ok,ok,ok,13.901621976401657,13.885855674743652,13.863877044059336,0.015766301658004522,19.136526971124113,19.092639923095703,13.985791996121407,2.788448005914688,2.3183999210596085,2.3183999210596085,5.234904994722456,2.563869988080114,2.544287919998169,0.2601699670776725,11.337751988321543,11.341567754745483,11.337751988321543,11.341567754745483,1.2869799999999905,0.9769070000000247,11.63773497640164,1.2696649999999992,0.9488929999999809,0.3453119880801341,1536,384,0,1920,0,1920,1536,384,0,0,1,1,108.60642169063794,108.48324745893478,108.31153940671356,109.26399996969849,21.7847500462085,18.11249938327819,20.03023428187589,19.877249374985695,2.0325778677943163,88.57618740876205,88.60599808394909,10.054531249999926,7.632085937500193,90.91980450313781,9.919257812499993,7.413226562499851,2.6977499068760475,0.7325226921188243,0.14604832108846297,0.12142898679271276,0.8155704426122112
5,20260825T092923Z,uniform,1,16384,1572864,96.0,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.0,0.0,0.0,0.0,0,42,4,ok,ok,ok,ok,13.806298025883734,13.786879539489746,13.975593959912658,0.019418486393988132,19.170528976246715,19.12403106689453,13.99328001588583,2.8139199912548065,2.316831059753895,2.316831059753895,5.36423095036298,2.7452899958007038,2.7291200160980225,0.3762230044230819,11.06100803008303,11.057759523391724,11.06100803008303,11.057759523391724,1.2883430000000367,0.9776679999999857,11.540287025883712,1.2732269999999963,0.9507489999999889,0.5213139958007186,1536,384,0,1920,0,1920,1536,384,0,0,1,1,107.86170332721667,107.70999640226364,109.18432781181764,109.32250012410805,21.983749931678176,18.100242654327303,21.447578092192998,21.3212501257658,2.939242222055327,86.41412523502368,86.38874627649784,10.065179687500287,7.638031249999888,90.1584923897165,9.94708593749997,7.427726562499913,4.072765592193114,0.7317118429131552,0.14714052604348477,0.1211476310433601,0.801156690181981
5,20260825T092923Z,uniform,1,16384,1572864,96.0,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.0,0.0,0.0,0.0,0,42,5,ok,ok,ok,ok,13.851048948708922,13.835519790649414,13.763690018095076,0.015529158059507608,19.235930987633765,19.17046356201172,14.031295955181122,2.812320001423359,2.326847605407238,2.326847605407238,5.384882038924843,2.7574749547056854,2.739423990249634,0.3807229804806411,11.093573994003236,11.09609580039978,11.093573994003236,11.09609580039978,1.2875029999999716,0.9766769999999702,11.586868948708979,1.2706760000000055,0.9481340000000005,0.5386649547056794,1536,384,0,1920,0,1920,1536,384,0,0,1,1,108.21131991178845,108.08999836444855,107.52882826636778,109.61949964985251,21.97125001111999,18.178496917244047,21.542773083638167,21.401749923825264,2.974398285005009,86.66854682815028,86.68824844062328,10.05861718749978,7.630289062499767,90.5224136617889,9.927156250000042,7.407296875000004,4.20831995863812,0.7319226219957249,0.14670067796358693,0.12137670004068812,0.8009194130410814
5,20260825T092923Z,uniform,1,16384,1572864,96.0,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.0,0.0,0.0,0.0,0,42,6,ok,ok,ok,ok,13.763652998022735,13.743712425231934,13.834310986567289,0.019940572790801525,19.132732995785773,19.08790397644043,13.968928053975105,2.8071360047906637,2.3118399176746607,2.3118399176746607,5.369079997763038,2.703746024053544,2.6873600482940674,0.32894202740862966,11.059906973969191,11.056352376937866,11.059906973969191,11.056352376937866,1.2872860000000168,0.9772209999999885,11.499145998022732,1.2729879999999945,0.9502769999999923,0.4804810240535571,1536,384,0,1920,0,1920,1536,384,0,0,1,1,107.52853904705262,107.37275332212448,108.08055458255694,109.13225042168051,21.93075003742706,18.061249356833287,21.12301581291831,20.9950003772974,2.569859589129919,86.40552323413431,86.37775294482708,10.056921875000132,7.634539062499909,89.83707810955259,9.945218749999956,7.42403906249994,3.7537580004184146,0.7318209516988609,0.147063606787598,0.12111544151354116,0.8035589807123181
5,20260825T092923Z,uniform,1,16384,1572864,96.0,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.0,0.0,0.0,0.0,0,42,7,ok,ok,ok,ok,13.885251013562083,13.869471549987793,13.875364966224879,0.015779463574290276,22.073002997785807,22.02582359313965,16.839584103785455,2.979135991074145,2.2071034982800484,2.2071034982800484,8.187751984223723,2.7433219947852194,2.7240641117095947,0.3500760067254305,11.141929018776864,11.145407438278198,11.141929018776864,11.145407438278198,1.2882919999999407,0.9772089999999878,11.619750013562154,1.2733639999999786,0.9499799999999918,0.519977994785249,1536,384,0,1920,0,1920,1536,384,0,0,1,1,108.47852354345378,108.35524648427963,108.40128879863187,131.55925081082387,23.274499930266757,17.242996080312878,21.432203084259527,21.28175087273121,2.7349688025424257,87.04632045919425,87.07349561154842,10.064781249999537,7.6344453124999045,90.77929698095433,9.948156249999833,7.421718749999936,4.062328084259757,0.7645382263494772,0.13525650827431723,0.10020526537620558,0.8024290672091022
5,20260825T092923Z,uniform,1,16384,1572864,96.0,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.0,0.0,0.0,0.0,0,42,8,ok,ok,ok,ok,16.818004951346666,16.78348731994629,13.880642014555633,0.03451763140037656,19.152148975990713,19.10748863220215,14.012160010635853,2.804608006030321,2.2907206155359745,2.2907206155359745,2.334144024644047,3.1792549998499453,3.1498560905456543,0.40095701115205884,13.63874995149672,13.633631229400635,13.63874995149672,13.633631229400635,1.2867819999999996,0.9768589999999611,14.554363951346705,1.2719909999999932,0.9496860000000051,0.957577999849947,1536,384,0,1920,0,1920,1536,384,0,0,1,1,131.39066368239583,131.12099468708038,108.44251573871588,109.4700000830926,21.911000047111884,17.8962548088748,24.837929686327698,24.608250707387924,3.1324766496254597,106.55273399606813,106.51274397969246,10.052984374999998,7.631710937499696,113.70596836989613,9.937429687499947,7.41942187500004,7.481078123827711,0.7333334212755171,0.14678056651064397,0.11988601221383889,0.8109612282165862
5,20260825T092923Z,uniform,1,16384,1572864,96.0,128,100,42,separate_eager_and_cudagraph_wall_cupti_profiles_plus_phase_events,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.15,0.0,0.0,0.0,0.0,0,42,9,ok,ok,ok,ok,13.997374975588173,13.976287841796875,13.853723008651286,0.021087133791297674,19.12452996475622,19.076927185058594,13.98406396061182,2.8394240103662014,2.253439214080572,2.253439214080572,5.127154989168048,2.753544016741216,2.7344961166381836,0.3768799942918122,11.243830958846956,11.241791725158691,11.243830958846956,11.241791725158691,1.3008209999999594,0.9900130000000142,11.706540975588199,1.2705850000000136,0.9489250000000079,0.5340340167411947,1536,384,0,1920,0,1920,1536,384,0,0,1,1,109.3544919967826,109.18974876403809,108.23221100508817,109.25049969227985,22.18300008098595,17.60499386000447,21.51206263079075,21.36325091123581,2.9443749554047827,87.84242936599185,87.82649785280228,10.162664062499683,7.734476562500111,91.4573513717828,9.926445312500107,7.413476562500062,4.172140755790584,0.733035452982407,0.14884074268470718,0.11812380433288584,0.8032813994378606
