schema_version,run_id,dataset,n_neuron,edge_count,mean_fanout,t_steps,warmup_steps,seed,timing_method,update_backend,current_backend,cusparse_primitive,cusparse_algorithm,baseline_cuda_graph,cudagraph_proxy_requested,kernel_active_profile_requested,requested_activity,actual_activity,n_active_per_step,spike_seed,repeat,cudagraph_status,kernel_profile_status,eager_wall_total_ms,eager_gpu_total_ms,eager_boundary_ms,instrumented_wall_total_ms,instrumented_gpu_total_ms,update_phase_elapsed_ms,current_phase_elapsed_ms,raw_inter_phase_residual_ms,inter_phase_residual_ms,instrumentation_wall_delta_ms,cudagraph_wall_total_ms,cudagraph_gpu_total_ms,raw_graph_removable_wall_ms,raw_graph_removable_gpu_ms,graph_removable_wall_ms,graph_removable_gpu_ms,update_kernel_active_ms,current_kernel_active_ms,execution_overhead_ms,update_kernel_count,current_kernel_count,ignored_device_event_count,eager_wall_us_per_step,eager_gpu_us_per_step,update_phase_elapsed_us_per_step,current_phase_elapsed_us_per_step,inter_phase_residual_us_per_step,cudagraph_wall_us_per_step,cudagraph_gpu_us_per_step,graph_removable_wall_us_per_step,graph_removable_gpu_us_per_step,update_kernel_active_us_per_step,current_kernel_active_us_per_step,execution_overhead_us_per_step,update_fraction_of_instrumented_gpu,current_fraction_of_instrumented_gpu,inter_phase_fraction_of_instrumented_gpu,graph_removable_wall_fraction_of_eager
3,20260810T162623Z,flybrain,138639,15091983,108.85813515677407,1000,100,42,separate_eager_cupti_phase_event_and_cudagraph_passes,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.005,0.0049985934693700905,693,42,0,ok,ok,176.09197506681085,176.0663604736328,0.02561459317803383,182.17029888182878,182.13168334960938,18.777407985180616,161.4401914179325,1.9140839464962482,1.9140839464962482,6.078323815017939,174.29572995752096,174.26742553710938,1.7962451092898846,1.7989349365234375,1.7962451092898846,1.7989349365234375,15.124819999999653,158.97988999999995,1.9872650668112328,13000,3000,0,176.09197506681085,176.0663604736328,18.777407985180616,161.4401914179325,1.9140839464962482,174.29572995752096,174.26742553710938,1.7962451092898846,1.7989349365234375,15.124819999999653,158.97988999999995,1.9872650668112328,0.10309797636436818,0.886392682749444,0.010509340886187738,0.010200607430340725
3,20260810T162623Z,flybrain,138639,15091983,108.85813515677407,1000,100,42,separate_eager_cupti_phase_event_and_cudagraph_passes,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.005,0.0049985934693700905,693,42,1,ok,ok,175.2326071728021,175.21971130371094,0.012895869091153145,181.9884330034256,181.9484405517578,18.720352021977305,161.37049601972103,1.857592510059476,1.857592510059476,6.7558258306235075,177.197583951056,177.1775665283203,-1.964976778253913,-1.957855224609375,0.0,0.0,14.908480999999574,158.50390200000015,1.8202241728023694,13000,3000,0,175.2326071728021,175.21971130371094,18.720352021977305,161.37049601972103,1.857592510059476,177.197583951056,177.1775665283203,0.0,0.0,14.908480999999574,158.50390200000015,1.8202241728023694,0.10288822462675648,0.8869023308491446,0.010209444524098889,0.0
3,20260810T162623Z,flybrain,138639,15091983,108.85813515677407,1000,100,42,separate_eager_cupti_phase_event_and_cudagraph_passes,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.005,0.0049985934693700905,693,42,2,ok,ok,176.2006578501314,176.1821746826172,0.01848316751420498,182.02390102669597,181.98121643066406,18.719967998564243,161.35363164544106,1.9076167866587639,1.9076167866587639,5.823243176564574,183.72941808775067,183.71536254882812,-7.528760237619281,-7.5331878662109375,0.0,0.0,14.90394899999881,158.5450239999998,2.7516848501327615,13000,3000,0,176.2006578501314,176.1821746826172,18.719967998564243,161.35363164544106,1.9076167866587639,183.72941808775067,183.71536254882812,0.0,0.0,14.90394899999881,158.5450239999998,2.751684850132761,0.10286758362062419,0.8866499236030646,0.010482492776311214,0.0
3,20260810T162623Z,flybrain,138639,15091983,108.85813515677407,1000,100,42,separate_eager_cupti_phase_event_and_cudagraph_passes,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.005,0.0049985934693700905,693,42,3,ok,ok,175.55722105316818,175.5416259765625,0.015595076605677605,182.10358009673655,182.0552978515625,18.775071984156966,161.38777543604374,1.8924504313617945,1.8924504313617945,6.546359043568373,177.2930659353733,177.2731170654297,-1.7358448822051287,-1.7314910888671875,0.0,0.0,14.895835000000883,158.57432400000013,2.087062053167159,13000,3000,0,175.55722105316818,175.5416259765625,18.775071984156966,161.38777543604374,1.8924504313617945,177.2930659353733,177.2731170654297,0.0,0.0,14.895835000000883,158.57432400000013,2.0870620531671595,0.10312840222570775,0.8864766768151406,0.0103949209591516,0.0
3,20260810T162623Z,flybrain,138639,15091983,108.85813515677407,1000,100,42,separate_eager_cupti_phase_event_and_cudagraph_passes,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.005,0.0049985934693700905,693,42,4,ok,ok,176.20639503002167,176.18663024902344,0.01976478099822998,181.93200416862965,181.89581298828125,18.752512004226446,161.2349755614996,1.9083254225552082,1.9083254225552082,5.725609138607979,182.84895201213658,182.834716796875,-6.642556982114911,-6.6480865478515625,0.0,0.0,14.909359000000636,158.59746200000026,2.699574030020756,13000,3000,0,176.20639503002167,176.18663024902344,18.752512004226446,161.2349755614996,1.9083254225552082,182.84895201213658,182.834716796875,0.0,0.0,14.909359000000636,158.59746200000026,2.699574030020756,0.10309479748956392,0.8864138921762166,0.010491310334219475,0.0
3,20260810T162623Z,flybrain,138639,15091983,108.85813515677407,1000,100,42,separate_eager_cupti_phase_event_and_cudagraph_passes,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.005,0.0049985934693700905,693,42,5,ok,ok,175.65210000611842,175.64016723632812,0.011932769790291786,181.91626900807023,181.87893676757812,18.70761597342789,161.2680635601282,1.9032572340220213,1.9032572340220213,6.264169001951814,178.2102668657899,178.1925811767578,-2.5581668596714735,-2.5524139404296875,0.0,0.0,14.895981999999448,158.62801099999922,2.1281070061197624,13000,3000,0,175.65210000611842,175.64016723632812,18.70761597342789,161.2680635601282,1.9032572340220213,178.2102668657899,178.1925811767578,0.0,0.0,14.895981999999448,158.62801099999922,2.1281070061197624,0.10285751778576883,0.8866780641356596,0.010464418078571578,0.0
3,20260810T162623Z,flybrain,138639,15091983,108.85813515677407,1000,100,42,separate_eager_cupti_phase_event_and_cudagraph_passes,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.005,0.0049985934693700905,693,42,6,ok,ok,176.1566950008273,176.13795471191406,0.01874028891324997,181.80872197262943,181.7678985595703,18.747135957702994,161.11407960951328,1.9066829923540354,1.9066829923540354,5.652026971802115,176.8912288825959,176.8777313232422,-0.7345338817685843,-0.739776611328125,0.0,0.0,14.90893800000074,158.59111999999996,2.6566370008266063,13000,3000,0,176.1566950008273,176.13795471191406,18.747135957702994,161.11407960951328,1.9066829923540354,176.8912288825959,176.8777313232422,0.0,0.0,14.90893800000074,158.59111999999996,2.6566370008266063,0.10313777133512408,0.8863725712090564,0.010489657455819479,0.0
3,20260810T162623Z,flybrain,138639,15091983,108.85813515677407,1000,100,42,separate_eager_cupti_phase_event_and_cudagraph_passes,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.005,0.0049985934693700905,693,42,7,ok,ok,175.5884380545467,175.5729217529297,0.015516301617026329,181.94001400843263,181.90237426757812,18.70486400835216,161.34710374474525,1.85040651448071,1.85040651448071,6.351575953885913,177.4228389840573,177.40098571777344,-1.8344009295105934,-1.82806396484375,0.0,0.0,14.899046000001833,158.61999000000017,2.069402054544696,13000,3000,0,175.5884380545467,175.5729217529297,18.70486400835216,161.34710374474525,1.85040651448071,177.4228389840573,177.40098571777344,0.0,0.0,14.899046000001833,158.61999000000017,2.069402054544696,0.10282913614331021,0.8869983385010901,0.01017252535559962,0.0
3,20260810T162623Z,flybrain,138639,15091983,108.85813515677407,1000,100,42,separate_eager_cupti_phase_event_and_cudagraph_passes,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.005,0.0049985934693700905,693,42,8,ok,ok,176.17407580837607,176.15330505371094,0.020770754665136337,181.96087214164436,181.90509033203125,18.722655968740582,161.3286719918251,1.8537623714655638,1.8537623714655638,5.786796333268285,183.5549238603562,183.54006958007812,-7.380848051980138,-7.3867645263671875,0.0,0.0,14.909461999999284,158.619778,2.644835808376797,13000,3000,0,176.17407580837607,176.15330505371094,18.722655968740582,161.3286719918251,1.8537623714655638,183.5549238603562,183.54006958007812,0.0,0.0,14.909461999999284,158.619778,2.644835808376797,0.10292540980885213,0.8868837683285936,0.010190821862554217,0.0
3,20260810T162623Z,flybrain,138639,15091983,108.85813515677407,1000,100,42,separate_eager_cupti_phase_event_and_cudagraph_passes,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.005,0.0049985934693700905,693,42,9,ok,ok,175.5365279968828,175.5232696533203,0.013258343562483788,181.99080508202314,181.9503631591797,18.710687993094325,161.38201574981213,1.8576594162732363,1.8576594162732363,6.4542770851403475,177.29323310777545,177.2730255126953,-1.7567051108926535,-1.749755859375,0.0,0.0,14.908069999998956,158.67533500000044,1.953122996883394,13000,3000,0,175.5365279968828,175.5232696533203,18.710687993094325,161.38201574981213,1.8576594162732363,177.29323310777545,177.2730255126953,0.0,0.0,14.908069999998956,158.67533500000044,1.953122996883394,0.1028340238965351,0.8869562717422372,0.010209704361227676,0.0
3,20260810T162623Z,flybrain,138639,15091983,108.85813515677407,1000,100,42,separate_eager_cupti_phase_event_and_cudagraph_passes,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.01,0.009997186938740181,1386,43,0,ok,ok,178.0823329463601,178.05821228027344,0.024120666086673737,183.62995982170105,183.58531188964844,20.781440030783415,161.29916715621948,1.5047047026455402,1.5047047026455402,5.547626875340939,175.81615294329822,175.79983520507812,2.2661800030618906,2.2583770751953125,2.2661800030618906,2.2583770751953125,15.900797999999494,158.79263099999994,3.3889039463606707,13000,3000,0,178.0823329463601,178.05821228027344,20.781440030783415,161.29916715621948,1.5047047026455402,175.81615294329822,175.79983520507812,2.2661800030618906,2.2583770751953125,15.900797999999494,158.79263099999994,3.3889039463606703,0.11319772707783377,0.8786060578374322,0.00819621508473404,0.012725462237427465
3,20260810T162623Z,flybrain,138639,15091983,108.85813515677407,1000,100,42,separate_eager_cupti_phase_event_and_cudagraph_passes,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.01,0.009997186938740181,1386,43,1,ok,ok,177.44280211627483,177.4299774169922,0.01282469928264618,183.61984007060528,183.58018493652344,20.673183975741267,161.4140793532133,1.49292160756886,1.49292160756886,6.177037954330444,178.06280800141394,178.04441833496094,-0.6200058851391077,-0.61444091796875,0.0,0.0,15.883892000000145,158.57700400000053,2.9819061162741605,13000,3000,0,177.44280211627483,177.4299774169922,20.673183975741267,161.4140793532133,1.49292160756886,178.06280800141394,178.04441833496094,0.0,0.0,15.883892000000145,158.57700400000053,2.9819061162741605,0.11261119484594397,0.8792565461736815,0.008132258980374531,0.0
3,20260810T162623Z,flybrain,138639,15091983,108.85813515677407,1000,100,42,separate_eager_cupti_phase_event_and_cudagraph_passes,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.01,0.009997186938740181,1386,43,2,ok,ok,178.06017911061645,178.04159545898438,0.01858365163207054,183.5177920293063,183.4805145263672,20.666752066463232,161.32595148682594,1.4878109730780125,1.4878109730780125,5.457612918689847,177.59262793697417,177.57933044433594,0.4675511736422777,0.4622650146484375,0.4675511736422777,0.4622650146484375,15.910668000000653,158.65066200000084,3.4988491106149695,13000,3000,0,178.06017911061645,178.04159545898438,20.666752066463232,161.32595148682594,1.4878109730780125,177.59262793697417,177.57933044433594,0.4675511736422777,0.4622650146484375,15.910668000000653,158.65066200000084,3.4988491106149695,0.11263731257682572,0.8792538646584321,0.008108822764742169,0.002625804242013149
3,20260810T162623Z,flybrain,138639,15091983,108.85813515677407,1000,100,42,separate_eager_cupti_phase_event_and_cudagraph_passes,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.01,0.009997186938740181,1386,43,3,ok,ok,177.24910099059343,177.23663330078125,0.01246768981218338,183.66708513349295,183.6321258544922,20.759488029405475,161.38140764832497,1.4912301767617464,1.4912301767617464,6.417984142899513,178.08999121189117,178.0708770751953,-0.8408902212977409,-0.8342437744140625,0.0,0.0,15.89019699999932,158.51788499999935,2.841018990594762,13000,3000,0,177.24910099059343,177.23663330078125,20.759488029405475,161.38140764832497,1.4912301767617464,178.08999121189117,178.0708770751953,0.0,0.0,15.89019699999932,158.51788499999935,2.841018990594762,0.11304932583449497,0.8788299263942606,0.008120747771244443,0.0
3,20260810T162623Z,flybrain,138639,15091983,108.85813515677407,1000,100,42,separate_eager_cupti_phase_event_and_cudagraph_passes,pytorch_cuda_eager,cusparse_direct_eager,SpMV,CUSPARSE_SPMV_ALG_DEFAULT,False,True,True,0.01,0.009997186938740181,1386,43,4,ok,ok,178.12115186825395,178.1036834716797,0.017468396574258804,183.52143210358918,183.486083984375,20.63219201937318,161.35951924324036,1.494372721761465,1.494372721761465,5.400280235335231,177.7622988447547,177.74815368652344,0.3588530234992504,0.35552978515625,0.3588530234992504,0.35552978515625,15.897311999999959,158.5793890000007,3.644450868253273,13000,3000,0,178.12115186825395,178.1036834716797,20.63219201937318,161.35951924324036,1.494372721761465,177.7622988447547,177.74815368652344,0.3588530234992504,0.35552978515625,15.897311999999959,158.5793890000007,3.644450868253273,0.11244554121679408,0.8794101205897508,0.008144338193455152,0.002014656988995184
