device,torch_version,cuda_version,n_neuron,batch_size,t_steps,fanout,event_rate,variant,median_ms,p20_ms,p80_ms,speedup_vs_plain
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,512,0.02,plain,15.12550401687622,14.874624252319336,15.374336242675781,1.0
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,512,0.02,binning,11.45036792755127,11.410431861877441,11.485183715820312,1.320962270608094
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,512,0.02,spike_block,11.69049596786499,11.211775779724121,14.618623733520508,1.2938291119943441
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,1024,0.02,plain,22.922751426696777,22.441984176635742,23.345151901245117,1.0
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,1024,0.02,binning,21.896703720092773,21.841920852661133,21.965824127197266,1.0468585463693554
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,1024,0.02,spike_block,22.367743492126465,21.538816452026367,22.46348762512207,1.0248128710330426
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,2050,0.02,plain,86.62681579589844,82.24972534179688,92.77030181884766,1.0
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,2050,0.02,binning,83.22201919555664,83.01363372802734,83.38636779785156,1.0409122084906537
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,2050,0.02,spike_block,82.91071701049805,82.49037170410156,83.2911376953125,1.0448204878620198
