device,torch_version,cuda_version,n_neuron,batch_size,t_steps,fanout,event_rate,variant,median_ms,p20_ms,p80_ms,speedup_vs_plain
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,16,0.02,plain,3.21126389503479,3.2071681022644043,3.2143359184265137,1.0
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,16,0.02,binning,2.0992000102996826,2.0500481128692627,2.140160083770752,1.5297560400527765
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,16,0.02,spike_block,4.163584232330322,4.132863998413086,4.176896095275879,0.7712739110930568
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,128,0.02,plain,4.335103988647461,4.320256233215332,5.006336212158203,1.0
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,128,0.02,binning,6.0370399951934814,5.406720161437988,6.1235198974609375,0.7180843579136376
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,128,0.02,spike_block,14.141440391540527,14.0830717086792,14.28991985321045,0.3065532130122148
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,256,0.02,plain,7.732736110687256,7.710720062255859,7.7557759284973145,1.0
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,256,0.02,binning,7.887872219085693,7.85203218460083,7.9134721755981445,0.9803323248539617
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,256,0.02,spike_block,15.880703926086426,15.878144264221191,15.88428783416748,0.4869265334003918
