device,torch_version,cuda_version,n_neuron,batch_size,t_steps,fanout,event_rate,variant,median_ms,p20_ms,p80_ms,speedup_vs_plain
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,16,0.02,plain,3.2122879028320312,3.206144094467163,3.2133119106292725,1.0
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,16,0.02,binning,2.059775948524475,2.0551679134368896,2.136064052581787,1.559532678849445
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,16,0.02,spike_block,2.4739840030670166,2.391040086746216,2.4842240810394287,1.2984271114323027
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,128,0.02,plain,4.321280002593994,4.281343936920166,4.341760158538818,1.0
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,128,0.02,binning,6.047743797302246,5.411935806274414,6.126719951629639,0.7145276234290239
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,128,0.02,spike_block,3.8195199966430664,3.79801607131958,3.8307840824127197,1.1313672938986885
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,256,0.02,plain,7.718400001525879,7.692287921905518,7.749631881713867,1.0
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,256,0.02,binning,7.861247777938843,7.797760009765625,7.882751941680908,0.9818288673187684
NVIDIA GeForce RTX 4060 Laptop GPU,2.10.0,12.9,4096,4,128,256,0.02,spike_block,6.710799932479858,6.656000137329102,6.742015838623047,1.1501460450592929
